strain	gisaid_epi_isl	genbank_accession	originating_lab	submitting_lab	author
hCoV-19/Ecuador/NIC-INSPI-342033/2021	EPI_ISL_3274618		INSPI-CRN DE INFLUENZA Y OTROS VIRUS RESPIRATORIOS	NIC-INSPI	Alfredo Bruno et al
hCoV-19/Finland/THL-202121617/2021	EPI_ISL_3230485		Fimlab Laboratoriot Oy Tampere	Expert Microbiology, National Institute for Health and Welfare	Soile Blomqvist et al
hCoV-19/Finland/12344/2021	EPI_ISL_3644500		Department of Virology and Immunology, University of Helsinki and Helsinki University Hospital, Huslab Finland	Department of Virology, Faculty of Medicine, University of Helsinki, Helsinki, Finland	Teemu Smura et al
hCoV-19/Israel/SMC-7004860/2021	EPI_ISL_3019825		Shamir Medical Center (Asaf Harofe)	Shamir Medical Center (Asaf Harofe)	Nir Rainy et al
hCoV-19/Israel/SMC-7006367/2021	EPI_ISL_3024418		Shamir Medical Center (Asaf Harofe)	Shamir Medical Center (Asaf Harofe)	Nir Rainy et al
hCoV-19/Israel/CVL-15629/2021	EPI_ISL_3279168		Israel Central Virology laboratory	Israel National Consortium for SARS-CoV-2 sequencing	Neta Zuckerman et al
hCoV-19/Uzbekistan/414/2021	EPI_ISL_3188998		ZANGIATA INFECTIOUS CLINICAL HOSPITAL №2	Biotechnology laboratory, Center for advanced technology	Alisher Abdullaev et al
hCoV-19/Germany/NI-RKI-I-187357/2021	EPI_ISL_2957391		MVZ Medizinisches Labor Hannover GmbH	Robert Koch Institute	?
hCoV-19/Moldova/un-ChVir25845/2021	EPI_ISL_3064706		National Agency for Public Health, Republic of Moldov	Charité Universitätsmedizin Berlin, Institut für Virologie	Victor M Corman et al
hCoV-19/Norway/16388/2021	EPI_ISL_3542637		Haukeland University Hospital, Dept. of Microbiology	Norwegian Institute of Public Health, Department of Virology	Kathrine Stene-Johansen et al
hCoV-19/Russia/SPE-RII-34632S/2021	EPI_ISL_2385150		WHO National Influenza Centre Russian Federation	WHO National Influenza Centre Russian Federation	Andrey Komissarov et al
hCoV-19/Crimea/RII-MH29253S/2021	EPI_ISL_3122999		Republican Children’s Clinical Infectious Diseases Hospital	WHO National Influenza Centre Russian Federation	Andrey Komissarov et al
hCoV-19/Slovakia/UKBA-4184/2021	EPI_ISL_3556810		Institute of Virology, Biomedical Research Center of the Slovak Academy of Sciences, Bratislava	Faculty of Mathematics, Physics and Informatics, Comenius University, Bratislava	Kristina Borsova et al
hCoV-19/Montenegro/CO-00357_MNE000_2310082102/2021	EPI_ISL_3557620		Laboratory for Molecular Diagnostics, IPHMN	Eurofins Genomics Europe Sequencing GmbH	Danijela Vujošević et al
hCoV-19/Montenegro/CO-00366_MNE000_2581012102/2021	EPI_ISL_3631614		Laboratory for Molecular Diagnostics,IPHMN	Eurofins Genomics Europe Sequencing GmbH	Danijela Vujošević et al
hCoV-19/Russia/PER-RII-MH31275S/2021	EPI_ISL_3454057		Perm Krai Blood Transfusion Station	WHO National Influenza Centre Russian Federation	Andrey Komissarov et al
hCoV-19/Austria/CeMM11908/2021	EPI_ISL_2758137		Austrian Agency for Health and Food Safety (AGES)	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	Lukas Endler et al
hCoV-19/Guatemala/ASI4140/2021	EPI_ISL_3527823		Laboratorio Nacional de Salud	Asociación de Salud Integral / Clínica Familiar "Luis Ángel García"	Eduardo Arathon et al
hCoV-19/Chile/RM-132251/2021	EPI_ISL_3341920		Genetica Molecular and Subdepartamento de Virologia ISP Chile	Instituto de Salud Publica de Chile	Karen Orostica et al
hCoV-19/Russia/SPE-RII-45232S/2021	EPI_ISL_3454793		WHO National Influenza Centre Russian Federation	WHO National Influenza Centre Russian Federation	Andrey Komissarov et al
hCoV-19/Switzerland/BE-IFIK-1847-5522/2021	EPI_ISL_3770584		Inselspital Bern (Notfall)	Institute for Infectious Diseases	Stefan Neuenschwander et al
hCoV-19/Moldova/un-ChVir25849/2021	EPI_ISL_3064710		National Agency for Public Health, Republic of Moldov	Charité Universitätsmedizin Berlin, Institut für Virologie	Victor M Corman et al
hCoV-19/Moldova/un-ChVir25847/2021	EPI_ISL_3064708		National Agency for Public Health, Republic of Moldov	Charité Universitätsmedizin Berlin, Institut für Virologie	Victor M Corman et al
hCoV-19/NorthMacedonia/43299/2021	EPI_ISL_3545690		Laboratory of virology and molecular diagnostics, Institute of Public Health	Laboratory of virology and molecular diagnostics, Institute of Public Health	Kuzmanovska M et al
hCoV-19/NorthMacedonia/43325/2021	EPI_ISL_3545701		Laboratory of virology and molecular diagnostics, Institute of Public Health	Laboratory of virology and molecular diagnostics, Institute of Public Health	Kuzmanovska M et al
hCoV-19/Malta/MDxMDH497/2021	EPI_ISL_2854663		Molecular Diagnostics Pathology Department Mater Dei Hospital Malta	Molecular Diagnostics Pathology Department Mater Dei Hospital Malta	G Zahra et al
hCoV-19/Bulgaria/21BG-EU_003711_Pl32/2021	EPI_ISL_3076737		National Center of Infectious and Parasitic Diseases	National Center of Infectious and Parasitic Diseases	Alexiev et al
hCoV-19/Russia/SPE-RII-45517S/2021	EPI_ISL_3454804		WHO National Influenza Centre Russian Federation	WHO National Influenza Centre Russian Federation	Andrey Komissarov et al
hCoV-19/Georgia/Tb-SNGS362/2021	EPI_ISL_3208133		Department for Virology, Molecular Biology and Genome Research, R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.	Department for Virology, Molecular Biology and Genome Research, R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia.	Meri Pantsulaia et al
hCoV-19/Austria/CeMM11857/2021	EPI_ISL_2758088		Austrian Agency for Health and Food Safety (AGES)	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	Lukas Endler et al
hCoV-19/CzechRepublic/NRL_10441/2021	EPI_ISL_3543578		National Institute of Public Health	National Institute of Public Health	Helena Jirincova et al
hCoV-19/Montenegro/CO-00366_MNE000_2611532102/2021	EPI_ISL_3707517		Laboratory for Molecular Diagnostics,IPHMN	Eurofins Genomics Europe Sequencing GmbH	Danijela Vujošević et al
hCoV-19/Finland/THL-202121465/2021	EPI_ISL_3020961		SYNLAB Suomi	Expert Microbiology, National Institute for Health and Welfare	Soile Blomqvist et al
hCoV-19/NewZealand/21MV0570/2021	EPI_ISL_2964925		LabPLUS	Institute of Environmental Science and Research (ESR)	Rachel Boyle et al
hCoV-19/Russia/SPE-RII-MH19417S/2021	EPI_ISL_2899764		HELIX LLC	WHO National Influenza Centre Russian Federation	Andrey Komissarov et al
hCoV-19/Finland/9353/2021	EPI_ISL_3135032		Department of Virology and Immunology, University of Helsinki and Helsinki University Hospital, Huslab Finland	Department of Virology, Faculty of Medicine, University of Helsinki, Helsinki, Finland	Teemu Smura et al
hCoV-19/Belgium/UZA-UA-CV1013072646/2021	EPI_ISL_3696494		Platform BIS UZA/UAntwerpen	Labo Klinische Biologie, UZA	Marie Le Mercier et al
hCoV-19/Armenia/IMB5-16/2021	EPI_ISL_3543615		National Center of Disease Control and Prevention of the Republic of Armenia, Davidyants Laboratories, Yerevan, Armenia	Institute of Molecular Biology NAS RA, Republic of Armenia, Department of Bioengineering, BioinformaticsInstitute and Molecular Biology IBMPh RAU, Republic of Armenia	Arsen Arakelyan et al
hCoV-19/Estonia/RC0025063/2021	EPI_ISL_3506067		Synlab Eesti OÜ	1. Laboratory of Communicable Diseases (Estonia); 2. Eurofins Genomics Europe Sequencing GmbH	Liidia Dotsenko et al.
hCoV-19/Israel/SMC-7005299/2021	EPI_ISL_3022238		Shamir Medical Center (Asaf Harofe)	Shamir Medical Center (Asaf Harofe)	Nir Rainy et al
hCoV-19/Israel/CVL-15382/2021	EPI_ISL_3279022		Israel Central Virology laboratory	Israel National Consortium for SARS-CoV-2 sequencing	Neta Zuckerman et al
hCoV-19/Curacao/CW-RIVM-44542/2021	EPI_ISL_3136614		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Curacao/CW-RIVM-43119/2021	EPI_ISL_3056741		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Curacao/CW-RIVM-44498/2021	EPI_ISL_3136570		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Serbia/Kraljevo-ZJZ00022906/2021	EPI_ISL_2932531		Institute of Public Health Kraljevo	Veterinary Specialized Institute Kraljevo	Vidanovic et al
hCoV-19/Serbia/ZJZKV0001-29-06/2021	EPI_ISL_3102050	MZ558052.1	Laboratory Diagnostic, Veterinary Specialized Institute Kraljevo	Laboratory Diagnostic, Veterinary Specialized Institute Kraljevo	Vidanovic et al
hCoV-19/Montenegro/CO-00366_MNE000_2577832102/2021	EPI_ISL_3631613		Laboratory for Molecular Diagnostics,IPHMN	Eurofins Genomics Europe Sequencing GmbH	Danijela Vujošević et al
hCoV-19/Montenegro/CO-00366_MNE000_2601592102/2021	EPI_ISL_3696922		Laboratory for Molecular Diagnostics,IPHMN	Eurofins Genomics Europe Sequencing GmbH	Danijela Vujošević et al
hCoV-19/HongKong/VM21033382/2021	EPI_ISL_3019495		COMMUNITY TESTING CENTRE	Hong Kong Department of Health	Alan K.L. Tsang et al
hCoV-19/Sweden/10098195/2021	EPI_ISL_3782276		Swedish national genomic surveillance program of SARS-CoV-2	The Public Health Agency of Sweden	Maximilian Riess et al
hCoV-19/Moldova/un-ChVir25852/2021	EPI_ISL_3064713		National Agency for Public Health, Republic of Moldov	Charité Universitätsmedizin Berlin, Institut für Virologie	Victor M Corman et al
hCoV-19/Russia/MOW-RII-MH29542S/2021	EPI_ISL_3086651		N.F. Gamaleya Research Center for Epidemiology and Microbiology	WHO National Influenza Centre Russian Federation	Andrey Komissarov et al
hCoV-19/Estonia/17304677/2021	EPI_ISL_3507221		Synlab Eesti OÜ	1. Laboratory of Communicable Diseases (Estonia); 2. Eurofins Genomics Europe Sequencing GmbH	Liidia Dotsenko et al.
hCoV-19/NorthMacedonia/43474/2021	EPI_ISL_3545692		Laboratory of virology and molecular diagnostics, Institute of Public Health	Laboratory of virology and molecular diagnostics, Institute of Public Health	Kuzmanovska M et al
hCoV-19/Armenia/IMB7-11/2021	EPI_ISL_3543635		National Center of Disease Control and Prevention of the Republic of Armenia, Davidyants Laboratories, Yerevan, Armenia	Institute of Molecular Biology NAS RA, Republic of Armenia, Department of Bioengineering, BioinformaticsInstitute and Molecular Biology IBMPh RAU, Republic of Armenia	Arsen Arakelyan et al
hCoV-19/Armenia/IMB6-1/2021	EPI_ISL_3543617		National Center of Disease Control and Prevention of the Republic of Armenia, Davidyants Laboratories, Yerevan, Armenia	Institute of Molecular Biology NAS RA, Republic of Armenia, Department of Bioengineering, BioinformaticsInstitute and Molecular Biology IBMPh RAU, Republic of Armenia	Arsen Arakelyan et al
hCoV-19/Armenia/IMB5-15/2021	EPI_ISL_3543614		National Center of Disease Control and Prevention of the Republic of Armenia, Davidyants Laboratories, Yerevan, Armenia	Institute of Molecular Biology NAS RA, Republic of Armenia, Department of Bioengineering, BioinformaticsInstitute and Molecular Biology IBMPh RAU, Republic of Armenia	Arsen Arakelyan et al
hCoV-19/Armenia/IMB8-9/2021	EPI_ISL_3543645		National Center of Disease Control and Prevention of the Republic of Armenia, Davidyants Laboratories, Yerevan, Armenia	Institute of Molecular Biology NAS RA, Republic of Armenia, Department of Bioengineering, BioinformaticsInstitute and Molecular Biology IBMPh RAU, Republic of Armenia	Arsen Arakelyan et al
hCoV-19/Qatar/QA.QU_18.17.D11/2021	EPI_ISL_2843122		Ministry of Public Health / Hamad Medical Corporation	Biomedical Research Center (BRC), Qatar University / Qatar Genome Project (QGP)	BRC: Fatiha M. Benslimane et al
hCoV-19/Portugal/PT14840/2021	EPI_ISL_3798731		H Divino Espirito Santo - Ponta Delgada	Instituto Nacional de Saude (INSA)	Borges et al
hCoV-19/Switzerland/AG-UZH-IMV-3ba4e019/2021	EPI_ISL_3578376	OU578947.1	Kantonsspital Baden AG	Institute of Medical Virology	Verena Kufner et al
hCoV-19/Portugal/PT14304/2021	EPI_ISL_3637040		SESARAM	Instituto Nacional de Saude (INSA)	Borges et al
hCoV-19/India/TG-CCMB-CIA7830/2021	EPI_ISL_3935289		Mapmygenome	CSIR-Centre for Cellular and Molecular Biology - INSACOG	Shreekant Verma et al
hCoV-19/Ghana/WACCBIP-GS1048/2021	EPI_ISL_3268146		WACCBIP, University of Ghana, Accra, Ghana	WACCBIP, University of Ghana, Volta Road, Legon-Accra, Ghana	Collins M. Morang'a et al
hCoV-19/Ghana/WACCBIP-GS1449/2021	EPI_ISL_3867310		WACCBIP, University of Ghana	WACCBIP, University of Ghana	Collins M. Morang'a et al
hCoV-19/Australia/QLD1890/2021	EPI_ISL_2274246		Queensland Health Forensic and Scientific Services	Queensland Health Forensic and Scientific Services	Son Nguyen et al
hCoV-19/Singapore/899/2021	EPI_ISL_2349822		National Public Health Laboratory, National Centre for Infectious Diseases	National Public Health Laboratory, National Centre for Infectious Diseases	Tze Minn Mak et al
hCoV-19/Singapore/1703/2021	EPI_ISL_2790351		National Public Health Laboratory, National Centre for Infectious Diseases	National Public Health Laboratory, National Centre for Infectious Diseases	Tze Minn Mak et al
hCoV-19/Singapore/1709/2021	EPI_ISL_2790356		National Public Health Laboratory, National Centre for Infectious Diseases	National Public Health Laboratory, National Centre for Infectious Diseases	Tze Minn Mak et al
hCoV-19/Singapore/1325/2021	EPI_ISL_2508980		National Public Health Laboratory, National Centre for Infectious Diseases	National Public Health Laboratory, National Centre for Infectious Diseases	Tze Minn Mak et al
hCoV-19/Singapore/1006/2021	EPI_ISL_2508658		National Public Health Laboratory, National Centre for Infectious Diseases	National Public Health Laboratory, National Centre for Infectious Diseases	Tze Minn Mak et al
hCoV-19/Guatemala/ASI4082/2021	EPI_ISL_3835364		Laboratorio Nacional de Salud	Asociación de Salud Integral / Clínica Familiar "Luis Ángel García"	Eduardo Arathon et al
hCoV-19/Malta/MDxMDH535/2021	EPI_ISL_3052670		Molecular Diagnostics Pathology Department Mater Dei Hospital Malta	Molecular Diagnostics Pathology Department Mater Dei Hospital Malta	G Zahra et al
hCoV-19/Mexico/YUC-INMEGEN-19-140/2021	EPI_ISL_3277666		Salud Digna	Instituto Nacional de Medicina Genomica	Cedro-Tanda A et al
hCoV-19/USA/NM-CDC-LC0168329/2021	EPI_ISL_3687007	MZ943631.1	Laboratory Corporation of America	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al
hCoV-19/NewZealand/21CH0093/2021	EPI_ISL_3543460		Canterbury Health Laboratories	Institute of Environmental Science and Research (ESR)	Rachel Boyle et al
hCoV-19/NewZealand/21CH0098/2021	EPI_ISL_3709213		Canterbury Health Laboratories	Institute of Environmental Science and Research (ESR)	Rachel Boyle et al
hCoV-19/Curacao/CW-RIVM-51127/2021	EPI_ISL_3732410		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Netherlands/BQ-RIVM-53833/2021	EPI_ISL_3917856		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Netherlands/BQ-RIVM-53868/2021	EPI_ISL_3918599		Dutch COVID-19 response team	National Institute for Public Health and the Environment (RIVM)	Adam Meijer et al
hCoV-19/Austria/CeMM13836/2021	EPI_ISL_3307622		Austrian Agency for Health and Food Safety (AGES)	Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences	Lukas Endler et al
hCoV-19/Senegal/SN-RUF-216276/2021	EPI_ISL_3154898		Iressef Genomics lab	IRESSEF	Souleymane MBOUP et al
hCoV-19/Senegal/SN-IR2-1019/2021	EPI_ISL_3154890		Iressef Genomics lab	IRESSEF	Souleymane MBOUP et al
hCoV-19/Senegal/SN-RUF-216272/2021	EPI_ISL_3154897		Iressef Genomics lab	IRESSEF	Souleymane MBOUP et al
hCoV-19/Senegal/SN-IR2-22051/2021	EPI_ISL_2873828		Iressef Genomics lab	IRESSEF	Souleymane MBOUP et al
hCoV-19/Gambia/47753/2021	EPI_ISL_3132305		MRCG at LSHTM Genomics lab	MRCG at LSHTM Genomics lab	Abdul Karim sesay et al
hCoV-19/Luxembourg/LNS9241100/2021	EPI_ISL_3334656		Laboratoire national de sante, 1 rue Louis Rech, L-3555 Dudelange, Luxembourg	Laboratoire national de sante, Microbiology, Microbial Genomics Platform	Anke Wienecke-Baldacchino et al
hCoV-19/Australia/VIC18918/2021	EPI_ISL_2978350		Victorian Infectious Diseases Reference Laboratory (VIDRL)	VIDRL and MDU-PHL	Caly L. et al B
hCoV-19/Austria/AGES_608343/2021	EPI_ISL_3020449		MA15 Lieferdienst Veloce	AGES, Institute for Medical Microbiology and Hygiene	Kathrin Lippert et al
hCoV-19/AntiguaandBarbuda/81142/2021	EPI_ISL_3655553		The Caribbean Public Health Agency	Carrington Lab, Department of Preclinical Sciences, Faculty of Medical Sciences, The University of the West Indies, St Augustine Campus	Nikita S. D. Sahadeo et al
hCoV-19/USA/NH-CDCBI-CRSP_GFAHCAL7SSBQR3UW/2021	EPI_ISL_3724387	MZ934173.1	Broad Institute Clinical Research Sequencing Platform	Infectious Disease Program, Broad Institute of Harvard and MIT	Siddle et al
hCoV-19/Czech_Republic/CSQ0207/2021	EPI_ISL_3315057		Nemocnice TGM Hodonin	University Hospital Brno, CMBG	Matej Bezdicek et al
hCoV-19/Kosovo/un-ChVir25887_23/2021	EPI_ISL_3505803		Department of Microbiology, National Institute for Public Health of Kosova	Charité Universitätsmedizin Berlin, Institut für Virologie	Victor M Corman et al
hCoV-19/Armenia/IMB8-5/2021	EPI_ISL_3543641		National Center of Disease Control and Prevention of the Republic of Armenia, Davidyants Laboratories, Yerevan, Armenia	Institute of Molecular Biology NAS RA, Republic of Armenia, Department of Bioengineering, BioinformaticsInstitute and Molecular Biology IBMPh RAU, Republic of Armenia	Arsen Arakelyan et al
hCoV-19/Kuwait/Jaber2120282020/2021	EPI_ISL_2958694		Jaber Al Ahmad Hospital	Virology Lab, Jaber Al Ahmad Hospital	Dr. Zahrah Buhamad et al
hCoV-19/Kuwait/KCCC-1383-3569782/2021	EPI_ISL_2984235		Jahra Hospital	Kuwait Cancer Control Center	Shakir Bahzad et al
hCoV-19/Qatar/QA.QU_18.19.C12/2021	EPI_ISL_2843266		Ministry of Public Health / Hamad Medical Corporation	Biomedical Research Center (BRC), Qatar University / Qatar Genome Project (QGP)	BRC: Fatiha M. Benslimane et al
hCoV-19/India/WB-1931501885088/2021	EPI_ISL_3189340		INSACOG-WB	National Institute of Biomedical Genomics – INSACOG	Arindam Maitra et al
hCoV-19/Belgium/ULG-16471/2021	EPI_ISL_2685852		SYNLAB	GIGA Medical Genomics	Keith Durkin et al
hCoV-19/Australia/SA0764/2021	EPI_ISL_2839984		SA Pathology	SA Pathology	Caitlin Selway et al
hCoV-19/Pakistan/NIH-B15-S19/2021	EPI_ISL_3827557		Department of Virology	Department of Virology	Massab Umair et al
hCoV-19/Australia/NT338/2021	EPI_ISL_2907544		Royal Darwin Hospital Pathology	MDU-PHL	Meumann et al
hCoV-19/England/ALDP-1AF03C1/2021	EPI_ISL_3363984		Lighthouse Lab in Alderley Park	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) Consortium	Jacquelyn Wynn et al
hCoV-19/NewZealand/21MV0485/2021	EPI_ISL_2650019		Middlemore Hospital	Institute of Environmental Science and Research (ESR)	Rachel Boyle et al
hCoV-19/USA/CO-CDC-MMB09541329/2021	EPI_ISL_3603649	MZ876393.1	Mako Medical	Centers for Disease Control and Prevention Division of Viral Diseases, Pathogen Discovery	Dakota Howard et al
hCoV-19/Botswana/R21B41_BHP_AAB78972/2021	EPI_ISL_2868384		Botswana Harvard HIV Reference Laboratory	Botswana Harvard HIV Reference Laboratory	Sikhulile Moyo et al
hCoV-19/France/IDF-HMN-21072200560/2021	EPI_ISL_3391374		Laboratoire Ana-L	Department of Virology, Henri Mondor University Hospital, Assistance Publique Hôpitaux de Paris, Université Paris-Est Créteil, INSERM U955	Christophe Rodriguez et al
hCoV-19/Kosovo/un-ChVir25887_02/2021	EPI_ISL_3505783		Department of Microbiology, National Institute for Public Health of Kosova	Charité Universitätsmedizin Berlin, Institut für Virologie	Victor M Corman et al
hCoV-19/Bahrain/921176557/2021	EPI_ISL_3663268	MZ676210.1	Communicable Disease Laboratory, Public Health Directorate	Communicable Disease Laboratory, Public Health Directorate	Alwasti et al
hCoV-19/Turkey/HSGM-CF5984/2021	EPI_ISL_3576653		Ministry of Health Turkey	Ministry of Health Turkey	Fatma Bayrakdar et al A
hCoV-19/Romania/B-17534/2021	EPI_ISL_3259542		Department of Public Health Bucharest	National Institute of Infectious Diseases-Prof. Dr. Matei Bals Molecular Diagnostics Laboratory	Corina Casangiu et al
hCoV-19/Bahrain/342373783/2021	EPI_ISL_3462120	MZ620565.1	Communicable Disease Laboratory, Public Health Directorate	Communicable Disease Laboratory, Public Health Directorate	Alwasti et al
hCoV-19/USA/OR-CDC-UW21080570378/2021	EPI_ISL_3552395	MZ896146.1	UW Virology Lab	UW Virology Lab	Pavitra Roychoudhury et al
hCoV-19/Algeria/49227/2021	EPI_ISL_3375628		NIC, Viral Respiratory Unit	Virology Departement	Fayez Ahmed Khardine et al
hCoV-19/India/TG-CDFD-WGS31_GMC_SDPT/2021	EPI_ISL_3507499		Government General Hospital	Centre for DNA Fingerprinting and Diagnostics	Murali Bashyam et al
hCoV-19/Nigeria/CV1992/2021	EPI_ISL_3945359		Nigerian Centre for Disease Control (NCDC)	Africa Centre for Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer’s University	Olawoye et al
hCoV-19/Nigeria/CV1441/2021	EPI_ISL_2895002		University College Hospital, Ibadan	African Centre of Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer's University, Nigeria	Olawoye et al
hCoV-19/Nigeria/NCDC-NR192/2021	EPI_ISL_3430318		Kaduna	National Reference Laboratory, Nigeria Centre for Disease Control	Dr Ndodo Nnaemeka et al
hCoV-19/Nigeria/CV1982/2021	EPI_ISL_3945357		Nigerian Centre for Disease Control (NCDC)	Africa Centre for Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer’s University	Olawoye et al
hCoV-19/Nigeria/CV1967/2021	EPI_ISL_3945350		Nigerian Centre for Disease Control (NCDC)	Africa Centre for Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer’s University	Olawoye et al
hCoV-19/Nigeria/NCDC-NR172/2021	EPI_ISL_3314969		Molecular Diagnostics Laboratory	National Reference Laboratory, Nigeria Centre for Disease Control	Dr Ndodo Nnaemeka et al
hCoV-19/Nigeria/NCDC-NR15/2021	EPI_ISL_2983224		DNA Labs	National Reference Laboratory, Nigeria Centre for Disease Control	Dr Ndodo Nnaemeka et al
hCoV-19/Nigeria/NCDC-NR06/2021	EPI_ISL_2987214		DNA Labs	National Reference Laboratory, Nigeria Centre for Disease Control	Dr Ndodo Nnaemeka et al
hCoV-19/Mexico/QUE-InDRE_FB23932_S5457/2021	EPI_ISL_3460179		LESP Queretaro	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Claudia Wong-Arambula et al
hCoV-19/Mexico/QUE_InDRE_FB28465_S5940/2021	EPI_ISL_3923827		LESP Queretaro	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Claudia Wong-Arambula et al
hCoV-19/Mexico/OAX_LANGEBIO_IMSS_2191/2021	EPI_ISL_3805563		Laboratorio Central de Epidemiologi­a (LCE)	Unidad de Genomica Avanzada	Consorcio Mexicano de Vigilancia Genomica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al
hCoV-19/Mexico/MIC_INER_IMSS_1951/2021	EPI_ISL_3557223		Centro de Investigación Biomédica de Occidente (CIBO)	Centro de Investigación en Enfermedades Infecciosas (CIENI), Instituto Nacional de Enfermedades Respiratorias (INER)	Consorcio Mexicano de Vigilancia Genómica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al
hCoV-19/Mexico/MIC_LANGEBIO_IMSS_2240/2021	EPI_ISL_3805338		Centro de Investigacion Biomedica de Occidente (CIBO)	Unidad de Genomica Avanzada	Consorcio Mexicano de Vigilancia Genomica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al
hCoV-19/Argentina/PAIS-G0338/2021	EPI_ISL_3860389		Laboratorio Central, Ministerio de Salud Córdoba	Instituto de Patologia Vegetal (CIAP-INTA) on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)	Fernández et al
hCoV-19/Argentina/PAIS-G0342/2021	EPI_ISL_3860397		Laboratorio Central, Ministerio de Salud Córdoba	Instituto de Patologia Vegetal (CIAP-INTA) on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)	Fernández et al
hCoV-19/Argentina/PAIS-G0339/2021	EPI_ISL_3860391		Laboratorio Central, Ministerio de Salud Córdoba	Instituto de Patologia Vegetal (CIAP-INTA) on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)	Fernández et al
hCoV-19/Argentina/PAIS-G0328/2021	EPI_ISL_3230018		Laboratorio Central, Ministerio de Salud Córdoba	Instituto de Patologia Vegetal (CIAP-INTA) on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)	Fernández et al
hCoV-19/Argentina/PAIS-G0326/2021	EPI_ISL_3230016		Laboratorio Central, Ministerio de Salud Córdoba	Instituto de Patologia Vegetal (CIAP-INTA) on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)	Fernández et al
hCoV-19/Argentina/PAIS-G0327/2021	EPI_ISL_3230017		Laboratorio Central, Ministerio de Salud Córdoba	Instituto de Patologia Vegetal (CIAP-INTA) on behalf of 'Proyecto Argentino Interinstitucional de genomica de SARS-CoV-2' (PAIS Consortium)	Fernández et al
hCoV-19/Mexico/ZAC_IBT_IMSS_2112/2021	EPI_ISL_3347896		Unidad de Investigación Biomédica de Zacatecas (UIBZ)	Instituto de Biotecnología de la UNAM	Consorcio Mexicano de Vigilancia Genómica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al
hCoV-19/Mexico/CHP_LANGEBIO_IMSS_2063/2021	EPI_ISL_3805593		Laboratorio Central de Epidemiologi­a (LCE)	Unidad de Genomica Avanzada	Consorcio Mexicano de Vigilancia Genomica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al
hCoV-19/Mexico/QUE-InDRE_FB19412_S4613/2021	EPI_ISL_3046092		LESP Queretaro	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Claudia Wong-Arambula et al
hCoV-19/Mexico/GUA-InDRE_FB20683_S4977/2021	EPI_ISL_3265473		LESP Guanajuato	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Claudia Wong-Arambula et al
hCoV-19/Mexico/HID-InDRE_FB19104_S4540/2021	EPI_ISL_3033393		LESP Hidalgo	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Claudia Wong-Arambula et al
hCoV-19/USA/WY-WYPHL-21056954/2021	EPI_ISL_3758800		Wyoming Public Health Laboratory	Wyoming Public Health Laboratory	Jim Mildenberger et al
hCoV-19/Mexico/COL-InDRE_FB19288_S4580/2021	EPI_ISL_3033433		LESP Colima	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)	Claudia Wong-Arambula et al
